,tweet_text,date,sentiment
0,Carlyle and Singapore sovereign-wealth fund GIC are sued over a failed deal to buy a 20% stake in American Express Global Business Travel ,2020-05-12 23:57:16+00:00,-1
1,Carlyle saved from losses by backing out of American Express deal: sources https://nypost.com/2020/05/12/carlyle-group-cancels-450-million-american-express-deal/?utm_source=twitter_sitebuttons&amp;utm_medium=site%20buttons&amp;utm_campaign=site%20buttons via @nypost,2020-05-12 23:56:03+00:00,0
2,@AmericanExpress and @MarriottBonvoy upped the earning on the AmEx Marriott Bonvoy credit card! Earn 6x points at U.S. Supermarkets now for a short time. Read more here https://lindleylogic.com/american-express-marriott-bonvoy-card-ups-benefit/ . . #COVID19 #americanexpress #marriottbonvoy #creditcard #COVIDー19 #COVID,2020-05-12 23:53:39+00:00,1
3,"Win Be the first to welcome back HAMILTON when it reopens at any theater! Plus, win a private Zoom with Lin-Manuel Miranda and $3,000 from American Express in aid of Hispanic Federation Emergency Assistance Fund #RaiseUp https://prizeo.com/r/66JhJr @Prizeo",2020-05-12 23:53:23+00:00,1
4,@AmericanExpress your bluebird customer service is garbage. I just got a card in the mail that I didn’t sign up for. The phone tree won’t let me get to a real person to report it as a fraud. Nice to know you guys don’t take #fraud seriously. #shitshow #CustomerExperience,2020-05-12 23:51:23+00:00,1
5,"Yeah XV was more modern, I mean it had Cup Noodle and American Express in it lmao",2020-05-12 23:48:49+00:00,1
6,"@Alitalia Hello, My parent’s flight's reservation has been canceled. My father received refund but my mother hasn't yet. Her airline #is JKTHSF. Flight ticket #is 0553829572465 and refund #is 0004118020. The credit card type she used is American Express. Could you help me?",2020-05-12 23:44:53+00:00,0
7," Win Be the first to welcome back HAMILTON when it reopens at any theater! Plus, win a private Zoom with Lin-Manuel Miranda and $3,000 from American Express in aid of Hispanic Federation Emergency Assistance Fund #RaiseUp https://prizeo.com/r/KYJsUW @Prizeo",2020-05-12 23:42:17+00:00,1
8,"Donate as little as $10 to be the first to welcome back HAMILTON when it reopens at any theater (and win a private Zoom with Lin-Manuel Miranda and $3,000 from American Express) in aid of Hispanic Federation Emergency Assistance Fund #RaiseUp https://prizeo.com/r/C7cJMy @Prizeo",2020-05-12 23:38:29+00:00,1
9,"Oh really? After 31 years of being a card holder, my business gets shut down, you cancel my card? I’m praying you go bankrupt.",2020-05-12 23:29:32+00:00,1
10,"Hello queen, do you want my American Express?? ",2020-05-12 23:24:04+00:00,0
11,"I already did this, hence why I was reaching out. I’m not about to wait 2+ hours to tell you my card is lost. Consider this my official notification that it is lost, if fraud happens on my account I will hold @AmericanExpress liable.",2020-05-12 23:21:55+00:00,-1
12,"We accept Visa, Mastercard, American Express, Discover, and PayPal. For additional payment options, including wire transfer, purchase orders, and ACH, please contact us. Get $100 worth of credit at Digital Ocean to spend within 60 days. ",2020-05-12 23:20:12+00:00,1
13,"Hello, thank you for tweeting us. So that we can better assist, which U.S. issued American Express Card product do you have? Please do not release any personal identifiable information. ^JAD",2020-05-12 23:09:51+00:00,1
14,American Express is teaming up with over 40 private corporations to offer short term discounts to #smallbusinesses due to the challenges presented by #COVID19? View many of these #business #resources by clicking here: http://www.standforsmall.com/ #ficonnected #entrepreneurship,2020-05-12 23:03:41+00:00,1
15,"Win Be the first to welcome back HAMILTON when it reopens at any theater! Plus, win a private Zoom with Lin-Manuel Miranda and $3,000 from American Express in aid of Hispanic Federation Emergency Assistance Fund #RaiseUp https://prizeo.com/r/4ltd4Q @Prizeo",2020-05-12 23:02:49+00:00,1
16,Please do the right thing @hilton,2020-05-12 23:01:38+00:00,1
17,Carlyle saved from losses by backing out of American Express deal: sources https://nypost.com/2020/05/12/carlyle-group-cancels-450-million-american-express-deal/?utm_source=twitter_sitebuttons&amp;utm_medium=site%20buttons&amp;utm_campaign=site%20buttons via @nypost,2020-05-12 22:52:55+00:00,0
18,@AmericanExpress what ever happened to Amex? They used to be the most reliable card in my wallet? What a shit show.,2020-05-12 22:48:19+00:00,1
19,"Hello, thank you for tweeting us. So that we can better assist, which U.S. issued American Express Card product do you have? Please do not release any personal identifiable information. ^JAD",2020-05-12 22:37:49+00:00,1
20,"Ironic how these big name companies are now offering “COVID-19” financial hardship assistance, BUT when someone calls in during regular times are told “there’s nothing we can do on our end to help you” @GEICO_Service @Verizon @comcastcares @visa @mastercard @americanexpress ",2020-05-12 22:32:51+00:00,1
21,Carlyle and Singapore sovereign-wealth fund GIC are sued over a failed deal to buy a 20% stake in American Express Global Business Travel ,2020-05-12 22:27:16+00:00,-1
22,"Slotastic Casino - 50 Free Spins for New Players or 200% Bonus for American Express Deposits https://www.noluckneeded.com/slotastic-casino-200-american-express-bonus-coupon-t24804.html Reliable #Crypto #Bitcoin #Litecoin #BitcoinCash or #fiat Online Casino est 2009! US, #Canada, #France, #Australia Welcome",2020-05-12 22:21:00+00:00,1
23,"Love my heels, they are like American Express, you don't leave home without them ",2020-05-12 22:18:48+00:00,1
24,...and can I pay for it...with an American Express travelers check?,2020-05-12 22:18:16+00:00,0
25,Carlyle and Singapore sovereign-wealth fund GIC are sued over a failed deal to buy a 20% stake in American Express Global Business Travel https://trib.al/Ci1o4y7,2020-05-12 22:15:41+00:00,-1
26,Everything You Ever Wanted to Know About the American Express Black Card https://www.cntraveler.com/story/american-express-black-card-perks-fees?utm_source=nl&amp;utm_brand=cnt&amp;utm_mailing=CNT_Daily_PM_051220&amp;utm_campaign=aud-dev&amp;utm_medium=email&amp;bxid=5bdccfc82ddf9c58d0f2e8ab&amp;cndid=37570673&amp;hasha=a9a05f680228fc6f67987f16ed856158&amp;hashb=66110f9ee591efb53033dd735a01f76915e379d4&amp;hashc=3e3ee40b601fa33b9fd44cf64e913ec8c8ca2d707e53cc5f8b533bd793992c7f&amp;esrc=WoM_NYCWFF_SWPS_18&amp;utm_content=Final&amp;utm_term=CNT_Daily via @CNTraveler,2020-05-12 22:11:56+00:00,-1
27,Normal Americans hate working for small businesses small businesses tend to give meaningless jobs to depressed Americans. This prolongs a systematic problem with the work apparatus of America,2020-05-12 22:06:13+00:00,-1
